"","filename","species","current","cc","cn","gf","he","mp"
"215","Leucospermum praecox_total_curr_2040.csv","Leucospermum praecox",252000,252000,252000,252000,252000,252000
"216","Leucospermum praecox_total_curr_2070.csv","Leucospermum praecox",252000,252000,252000,252000,252000,252000
"217","Leucospermum praemorsum_total_curr_2010.csv","Leucospermum praemorsum",252000,252000,252000,252000,252000,252000
"218","Leucospermum praemorsum_total_curr_2040.csv","Leucospermum praemorsum",252000,252000,252000,252000,252000,252000
"219","Leucospermum praemorsum_total_curr_2070.csv","Leucospermum praemorsum",252000,252000,252000,252000,252000,252000
"220","Leucospermum prostratum_total_curr_2010.csv","Leucospermum prostratum",252000,252000,252000,252000,252000,252000
"221","Leucospermum prostratum_total_curr_2040.csv","Leucospermum prostratum",252000,252000,252000,252000,252000,252000
"222","Leucospermum prostratum_total_curr_2070.csv","Leucospermum prostratum",252000,252000,252000,252000,252000,252000
"223","Leucospermum reflexum_total_curr_2010.csv","Leucospermum reflexum",252000,252000,252000,252000,252000,252000
"224","Leucospermum reflexum_total_curr_2040.csv","Leucospermum reflexum",252000,252000,252000,252000,252000,252000
"225","Leucospermum reflexum_total_curr_2070.csv","Leucospermum reflexum",252000,252000,252000,252000,252000,252000
"226","Leucospermum rodolentum_total_curr_2010.csv","Leucospermum rodolentum",252000,252000,252000,252000,252000,252000
"227","Leucospermum rodolentum_total_curr_2040.csv","Leucospermum rodolentum",252000,252000,252000,252000,252000,252000
"228","Leucospermum rodolentum_total_curr_2070.csv","Leucospermum rodolentum",252000,252000,252000,252000,252000,252000
"229","Leucospermum secundifolium_total_curr_2010.csv","Leucospermum secundifolium",252000,252000,252000,252000,252000,252000
"230","Leucospermum secundifolium_total_curr_2040.csv","Leucospermum secundifolium",252000,252000,252000,252000,252000,252000
"231","Leucospermum secundifolium_total_curr_2070.csv","Leucospermum secundifolium",252000,252000,252000,252000,252000,252000
"232","Leucospermum spathulatum_total_curr_2010.csv","Leucospermum spathulatum",252000,252000,252000,252000,252000,252000
"233","Leucospermum spathulatum_total_curr_2040.csv","Leucospermum spathulatum",252000,252000,252000,252000,252000,252000
"234","Leucospermum spathulatum_total_curr_2070.csv","Leucospermum spathulatum",252000,252000,252000,252000,252000,252000
"235","Leucospermum tomentosum_total_curr_2010.csv","Leucospermum tomentosum",252000,252000,252000,252000,252000,252000
"236","Leucospermum tomentosum_total_curr_2040.csv","Leucospermum tomentosum",252000,252000,252000,252000,252000,252000
"237","Leucospermum tomentosum_total_curr_2070.csv","Leucospermum tomentosum",252000,252000,252000,252000,252000,252000
"238","Leucospermum tottum_total_curr_2010.csv","Leucospermum tottum",252000,252000,252000,252000,252000,252000
"239","Leucospermum tottum_total_curr_2040.csv","Leucospermum tottum",252000,252000,252000,252000,252000,252000
"240","Leucospermum tottum_total_curr_2070.csv","Leucospermum tottum",252000,252000,252000,252000,252000,252000
"241","Leucospermum truncatulum_total_curr_2010.csv","Leucospermum truncatulum",252000,252000,252000,252000,252000,252000
"242","Leucospermum truncatulum_total_curr_2040.csv","Leucospermum truncatulum",252000,252000,252000,252000,252000,252000
